, 捷運營業里程(公里), 捷運客運人次/總計(人次), 捷運客運收入/總計(元)
 100年1月,100.8,46769306,988277007
 100年2月,101.9,42217591,903345872
 100年3月,101.9,48818361,1042360960
 100年4月,101.9,47205199,1005773165
 100年5月,101.9,46653336,992750807
 100年6月,101.9,44438781,944566055
 100年7月,101.9,48204332,1022866064
 100年8月,101.9,47806171,1014036823
 100年9月,101.9,46440213,1002823893
 100年10月,101.9,48612662,1061261771
 100年11月,101.9,47637209,1044031040
 100年12月,101.9,51601325,1126672930
 101年1月,110,46910524,1006923414
 101年2月,110,48222267,1049426114
 101年3月,110,51761349,1143165566
 101年4月,110,48278769,1060454639
 101年5月,110,50131129,1102741251
 101年6月,110,47661008,1044311525
 101年7月,110,50456552,1102930706
 101年8月,110,49651320,1085675052
 101年9月,112.8,48795624,1069707150
 101年10月,112.8,53218414,1149392023
 101年11月,112.8,51654227,1132767384
 101年12月,112.8,55458159,1220914557
 102年1月,112.8,52749452,1150436049
 102年2月,112.8,45786691,1008231182
 102年3月,112.8,54349272,1196214219
 102年4月,112.8,50269978,1101026837
 102年5月,112.8,53058455,1159906990
 102年6月,115.6,50466513,1169364140
 102年7月,115.6,52949777,1156020379
 102年8月,115.6,52984136,1140049956
 102年9月,115.6,50471993,1107748066
 102年10月,115.6,54652173,1202805402
 102年11月,121.3,55447598,1200792434
 102年12月,121.3,61775045,1308597409
 103年1月,121.3,55842595,1221834746
 103年2月,121.3,52200340,1143803107
 103年3月,121.3,59584296,1303875250
 103年4月,121.3,55365751,1214869409
 103年5月,121.3,56671844,1236885478
 103年6月,121.3,52928720,1155419565
 103年7月,121.3,55610445,1212955380
 103年8月,121.3,56508518,1232940788
 103年9月,121.3,53588179,1175612785
 103年10月,121.3,57923300,1275028225
 103年11月,129.2,58232217,1219180852
 103年12月,129.2,65050196,1368989087
 104年1月,129.2,59691839,1307066108
 104年2月,129.2,52532633,1146264895
 104年3月,129.2,62848327,1381154403
 104年4月,129.2,58332655,1272534572
 104年5月,129.2,60761657,1322895872
 104年6月,129.2,57568402,1251238335
 104年7月,131.1,59994731,1301390069
 104年8月,131.1,58896058,1275336046
 104年9月,131.1,57138189,1248577689
 104年10月,131.1,62296159,1364448412
 104年11月,131.1,60909070,1330728344
 104年12月,131.1,66542089,1450240499
 105年1月,131.1,62491126,1353556428
 105年2月,131.1,55880942,1215584585
 105年3月,131.1,65094282,1421920706
 105年4月,131.1,59818335,1306259500
 105年5月,131.1,62641349,1358766172
 105年6月,131.1,58943413,1288514496
 105年7月,131.1,60814153,1318141011
 105年8月,131.1,63103402,1365774580
 105年9月,131.1,56229449,1219229971
 105年10月,131.1,62802378,1361171049
 105年11月,131.1,62796023,1353551250
 105年12月,131.1,69375314,1523753795
 106年1月,131.1,60035066,1314569434
 106年2月,131.1,57307769,1245040657
 106年3月,131.1,65799002,1429404545
 106年4月,131.1,61034570,1329578610
 106年5月,131.1,62331397,1351267544
 106年6月,131.1,60600002,1303448223
 106年7月,131.1,60845996,1309674096
 106年8月,131.1,63338720,1365832150
 106年9月,131.1,60251267,1308083627
 106年10月,131.1,61801612,1343941796
 106年11月,131.1,63033961,1367683299
 106年12月,131.1,69687194,1506055484
 107年1月,131.1,64500974,1395000627
 107年2月,131.1,54709408,1177667324
 107年3月,131.1,67358839,1467726472
 107年4月,131.1,60665191,1327380118
 107年5月,131.1,64979317,1392733302
 107年6月,131.1,61504022,1316407419
 107年7月,131.1,62957672,1356259501
 107年8月,131.1,64683872,1402086824
 107年9月,131.1,60868879,1316220463
 107年10月,131.1,67071863,1449361231
 107年11月,131.1,65606945,1425746291
 107年12月,131.1,70563145,1533131745
 108年1月,131.1,68003177,1466609072
 108年2月,131.1,56013818,1211498304
 108年3月,131.1,67278996,1451518655
 108年4月,131.1,63674114,1382972896
 108年5月,131.1,67470852,1457400703
 108年6月,131.1,62899805,1353757451
 108年7月,131.1,66557788,1432418095
 108年8月,131.1,65067353,1388319789
 108年9月,131.1,61917289,1321806031
 108年10月,131.1,68684775,1473679931
 108年11月,131.1,68384772,1304221636
 108年12月,131.1,73646397,1566309878
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
